Id,Bound
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,0
634,1
635,0
636,1
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,1
697,0
698,0
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,1
756,0
757,0
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,1
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,0
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,1
814,1
815,1
816,1
817,0
818,0
819,1
820,0
821,0
822,1
823,1
824,0
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,1
836,1
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,1
871,0
872,0
873,1
874,0
875,1
876,1
877,1
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,1
903,0
904,0
905,1
906,1
907,1
908,0
909,1
910,0
911,0
912,1
913,0
914,0
915,1
916,0
917,1
918,0
919,0
920,1
921,1
922,1
923,0
924,0
925,0
926,0
927,1
928,1
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,1
950,1
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,1
962,0
963,1
964,1
965,0
966,0
967,0
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,0
985,0
986,1
987,1
988,0
989,0
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,0
998,1
999,0
