Id,Bound
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,1
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,0
619,0
620,0
621,0
622,1
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,1
668,1
669,0
670,1
671,0
672,1
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,1
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,1
778,1
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,0
788,1
789,1
790,0
791,0
792,1
793,0
794,1
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,1
